species,decimalLatitude,decimalLongitude,eventDate,country,stateProvince,basisOfRecord
Prosopis cineraria,23.21728,72.66303,2023-09-11,India,Gujarat,HUMAN_OBSERVATION
Prosopis cineraria,23.22268,72.6617,2023-09-11,India,Gujarat,HUMAN_OBSERVATION
Prosopis cineraria,23.11651,72.61184,2023-09-16,India,Gujarat,HUMAN_OBSERVATION
Prosopis cineraria,25.977216,51.045749,2023-09-13T13:21:54,Qatar,Madinat ash Shamal,HUMAN_OBSERVATION
Prosopis cineraria,25.536845,55.623867,2023-10-23T09:58:49,United Arab Emirates,Umm Al Qaywayn,HUMAN_OBSERVATION
Prosopis cineraria,23.907372,54.941372,2023-10-22T17:29:10,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,30.216244,75.01799,2023-10-20T11:52:20.428Z,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,24.596125,55.609347,2023-11-26T16:55:07,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,25.994142,50.583271,2023-11-03T12:10:57,Bahrain,Southern,HUMAN_OBSERVATION
Prosopis cineraria,26.841621,75.820641,2023-12-06T12:09:17,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.8423,75.8214,2023-12-07,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,26.8416,75.8206,2023-12-05,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,24.965,55.145,2023-12-11T14:43,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,23.686159,58.578376,2023-12-24T15:45,Oman,Muscat,HUMAN_OBSERVATION
Prosopis cineraria,26.840327,75.822949,2023-12-08T08:05:41,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,23.611531,58.587692,2023-12-24T15:45,Oman,Muscat,HUMAN_OBSERVATION
Prosopis cineraria,25.597976,55.800016,2022-03-12T16:00,United Arab Emirates,Umm Al Qaywayn,HUMAN_OBSERVATION
Prosopis cineraria,11.030401,79.342084,2022-03-20T08:13:08,India,Tamil Nadu,HUMAN_OBSERVATION
Prosopis cineraria,24.955446,55.713355,2022-03-25T16:40,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,25.034673,55.239732,2022-04-15T17:01Z,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,27.297963,75.815626,2022-04-21,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,17.50263,78.38629,2022-04-22,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,25.389433,56.305933,2022-04-20,United Arab Emirates,NA,PRESERVED_SPECIMEN
Prosopis cineraria,24.600241,73.705638,2022-05-30,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,25.99373,50.582887,2022-06-05T12:09:40,Bahrain,Southern,HUMAN_OBSERVATION
Prosopis cineraria,24.378388,54.548592,2022-08-09T10:11:13,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,17.50263,78.38629,2022-08-19,India,NA,HUMAN_OBSERVATION
