species,decimalLatitude,decimalLongitude,eventDate,country,stateProvince,basisOfRecord,wc2.1_10m_bio_1,wc2.1_10m_bio_2,wc2.1_10m_bio_3,wc2.1_10m_bio_4,wc2.1_10m_bio_5,wc2.1_10m_bio_6,wc2.1_10m_bio_7,wc2.1_10m_bio_8,wc2.1_10m_bio_9,wc2.1_10m_bio_10,wc2.1_10m_bio_11,wc2.1_10m_bio_12,wc2.1_10m_bio_13,wc2.1_10m_bio_14,wc2.1_10m_bio_15,wc2.1_10m_bio_16,wc2.1_10m_bio_17,wc2.1_10m_bio_18,wc2.1_10m_bio_19,presence
Prosopis cineraria,24.959286,55.154944,2025-01-11T11:47:47,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.711444854736328,12.973234176635742,45.256282806396484,610.9986572265625,41.73100662231445,13.064857482910156,28.666149139404297,20.608224868774414,33.3464241027832,34.692893981933594,19.850645065307617,95,31,0,111.7878646850586,65,4,4,52,1
Prosopis cineraria,24.959641,55.154818,2025-01-11T10:35:33,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.711444854736328,12.973234176635742,45.256282806396484,610.9986572265625,41.73100662231445,13.064857482910156,28.666149139404297,20.608224868774414,33.3464241027832,34.692893981933594,19.850645065307617,95,31,0,111.7878646850586,65,4,4,52,1
Prosopis cineraria,26.643255,70.67382,2025-01-15T13:31:22,India,Rajasthan,HUMAN_OBSERVATION,26.979385375976563,15.861936569213867,45.61370086669922,618.0096435546875,42.46125030517578,7.6867499351501465,34.77450180053711,30.91904067993164,19.199708938598633,33.38291549682617,18.218000411987305,191,73,1,159.42584228515625,165,4,86,4,1
Prosopis cineraria,24.958563,56.314513,2025-01-20T09:35:24,United Arab Emirates,Fujayrah,HUMAN_OBSERVATION,27.336156845092773,11.191062927246094,42.761722564697266,561.47686767578125,39.91299819946289,13.742250442504883,26.170747756958008,20.73550033569336,28.19908332824707,33.49537658691406,20.014957427978516,155,40,2,90.44962310791016,91,10,19,75,1
Prosopis cineraria,24.888629,55.432042,2025-01-12T17:24:55,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.504228591918945,13.845749855041504,46.51063537597656,625.643310546875,41.969749450683594,12.200750350952148,29.768999099731445,20.294584274291992,32.33150100708008,34.69612503051758,19.434125900268555,124,37,2,100.55680084228516,77,7,11,61,1
Prosopis cineraria,25.242831,55.305504,2025-02-02T16:51:20,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.414962768554688,11.28270149230957,42.78170394897461,584.6048583984375,40.30908966064453,13.936363220214844,26.372726440429688,20.560606002807617,34.1209602355957,34.1209602355957,19.94772720336914,106,35,0,115.61170196533203,73,2,2,62,1
Prosopis cineraria,26.229805,73.03025,2025-02-06T17:06:43,India,Rajasthan,HUMAN_OBSERVATION,26.785614013671875,13.892021179199219,42.763755798339844,603.8599853515625,41.549251556396484,9.063750267028809,32.48550033569336,30.166166305541992,19.405624389648438,33.32512664794922,18.407583236694336,417,141,2,143.4311981201172,332,8,192,9,1
Prosopis cineraria,25.22501,55.450632,2025-02-01T14:56:59,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.32109260559082,12.483570098876953,44.91035461425781,597.59783935546875,40.90594482421875,13.109302520751953,27.796642303466797,20.387123107910156,34.21623611450195,34.21623611450195,19.676313400268555,114,37,0,114.9690933227539,78,3,3,66,1
Prosopis cineraria,25.225138,55.449378,2025-02-01T15:03:09,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.32109260559082,12.483570098876953,44.91035461425781,597.59783935546875,40.90594482421875,13.109302520751953,27.796642303466797,20.387123107910156,34.21623611450195,34.21623611450195,19.676313400268555,114,37,0,114.9690933227539,78,3,3,66,1
Prosopis cineraria,25.22503,55.450283,2025-02-01T15:00:03,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.32109260559082,12.483570098876953,44.91035461425781,597.59783935546875,40.90594482421875,13.109302520751953,27.796642303466797,20.387123107910156,34.21623611450195,34.21623611450195,19.676313400268555,114,37,0,114.9690933227539,78,3,3,66,1
Prosopis cineraria,25.224103,55.447313,2025-02-01T15:19:05,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.32109260559082,12.483570098876953,44.91035461425781,597.59783935546875,40.90594482421875,13.109302520751953,27.796642303466797,20.387123107910156,34.21623611450195,34.21623611450195,19.676313400268555,114,37,0,114.9690933227539,78,3,3,66,1
